pfamAcc	pfamId	minExpressionRank	maxF84	numSpecies
PF03411	Peptidase_M74	230	0.41	345
PF03412	Peptidase_C39	552	0.55	910
PF03413	PepSY	24	0.50	879
PF03414	Glyco_transf_6	2635	0.35	6
PF03415	Peptidase_C11	858	0.45	84
PF03417	AAT	1359	0.50	352
PF03418	Peptidase_A25	2779	0.39	286
PF03419	Peptidase_U4	1054	0.39	290
PF03422	CBM_6	1735	0.46	243
PF03432	Relaxase	1287	0.44	367
PF03433	EspA	2687	0.23	58
PF03435	Saccharop_dh	167	0.46	1055
PF03437	BtpA	398	0.44	200
PF03441	FAD_binding_7	490	0.48	1209
PF03444	HrcA_DNA-bdg	152	0.46	410
PF03445	DUF294	1611	0.47	434
PF03446	NAD_binding_2	158	0.61	1948
PF03447	NAD_binding_3	239	0.61	2045
PF03448	MgtE_N	224	0.56	1597
PF03449	GreA_GreB_N	186	0.56	2219
PF03450	CO_deh_flav_C	205	0.50	755
PF03453	MoeA_N	274	0.50	1577
PF03454	MoeA_C	405	0.47	1465
PF03458	UPF0126	360	0.46	1211
PF03459	TOBE	196	0.46	1361
PF03460	NIR_SIR_ferr	204	0.50	1505
PF03461	TRCF	204	0.50	2189
PF03462	PCRF	157	0.61	2343
PF03466	LysR_substrate	57	0.50	2084
PF03471	CorC_HlyC	100	0.50	2258
PF03472	Autoind_bind	277	0.37	483
PF03473	MOSC	1288	0.46	1319
PF03475	3-alpha	1675	0.43	593
PF03476	MOSC_N	1347	0.45	588
PF03477	ATP-cone	256	0.50	2117
PF03479	DUF296	468	0.45	349
PF03480	SBP_bac_7	90	0.45	894
PF03481	SUA5	1393	0.50	966
PF03483	B3_4	396	0.50	2208
PF03484	B5	408	0.51	2310
PF03485	Arg_tRNA_synt_N	301	0.57	2279
PF03486	HI0933_like	1372	0.50	1440
PF03495	Binary_toxB	1809	0.28	37
PF03496	ADPrib_exo_Tox	310	0.41	126
PF03497	Anthrax_toxA	3938	0.29	39
PF03500	Cellsynth_D	746	0.27	56
PF03502	Channel_Tsx	284	0.35	321
PF03503	Chlam_OMP3	5	0.07	53
PF03504	Chlam_OMP6	152	0.16	54
PF03507	CagA	103	0.01	41
PF03513	Cloacin_immun	4350	0.19	8
PF03515	Cloacin	2415	0.18	8
PF03519	Invas_SpaK	109	0.24	58
PF03524	CagX	182	0.44	353
PF03526	Microcin	3601	0.18	7
PF03527	RHS	304	0.39	250
PF03537	Glyco_hydro_114	1529	0.44	154
PF03543	Peptidase_C58	1573	0.30	40
PF03544	TonB_C	181	0.49	1052
PF03545	YopE	635	0.17	37
PF03547	Mem_trans	238	0.47	1445
PF03548	LolA	477	0.49	1113
PF03549	Tir_receptor_M	2216	0.03	13
PF03550	LolB	247	0.31	598
PF03551	PadR	427	0.50	1369
PF03552	Cellulose_synt	3035	0.31	20
PF03553	Na_H_antiporter	446	0.46	940
PF03559	Hexose_dehydrat	1820	0.38	37
PF03561	Allantoicase	2700	0.36	167
PF03562	MltA	1021	0.35	688
PF03567	Sulfotransfer_2	618	0.41	209
PF03571	Peptidase_M49	1938	0.48	74
PF03572	Peptidase_S41	46	0.50	1860
PF03573	OprD	160	0.43	304
PF03574	Peptidase_S48	3493	0.14	20
PF03575	Peptidase_S51	806	0.48	821
PF03576	Peptidase_S58	1493	0.50	571
PF03577	Peptidase_C69	443	0.46	308
PF03583	LIP	882	0.42	271
PF03588	Leu_Phe_trans	1595	0.46	939
PF03589	Antiterm	3305	0.09	123
PF03590	AsnA	408	0.46	579
PF03591	AzlC	1145	0.46	1321
PF03592	Terminase_2	2892	0.43	382
PF03594	BenE	2101	0.37	527
PF03595	SLAC1	193	0.44	806
PF03596	Cad	332	0.36	250
PF03597	CcoS	193	0.49	502
PF03598	CdhC	894	0.37	75
PF03599	CdhD	524	0.37	87
PF03600	CitMHS	456	0.50	1526
PF03601	Cons_hypoth698	592	0.50	1244
PF03602	Cons_hypoth95	336	0.57	2260
PF03603	DNA_III_psi	1080	0.23	263
PF03605	DcuA_DcuB	258	0.43	539
PF03606	DcuC	496	0.50	776
PF03608	EII-GUT	239	0.44	280
PF03609	EII-Sor	219	0.43	602
PF03610	EIIA-man	69	0.44	1239
PF03611	EIIC-GAT	132	0.45	695
PF03612	EIIBC-GUT_N	220	0.44	285
PF03613	EIID-AGA	382	0.43	608
PF03616	Glt_symporter	235	0.44	589
PF03618	Kinase-PPPase	347	0.45	1195
PF03621	MbtH	157	0.43	512
PF03625	DUF302	923	0.47	411
PF03626	COX4_pro	41	0.46	995
PF03629	DUF303	3984	0.50	285
PF03630	Fumble	614	0.42	154
PF03631	Virul_fac_BrkB	781	0.50	2023
PF03632	Glyco_hydro_65m	1134	0.46	620
PF03633	Glyco_hydro_65C	261	0.44	546
PF03636	Glyco_hydro_65N	1129	0.46	604
PF03640	Lipoprotein_15	1191	0.42	243
PF03641	Lysine_decarbox	308	0.49	1696
PF03642	MAP	851	0.03	43
PF03646	FlaG	126	0.46	517
PF03648	Glyco_hydro_67N	5453	0.47	132
PF03649	UPF0014	681	0.47	794
PF03652	UPF0081	254	0.50	2213
PF03653	UPF0093	438	0.42	724
PF03658	Ub-RnfH	803	0.30	598
PF03663	Glyco_hydro_76	3193	0.43	236
PF03668	ATP_bind_2	605	0.48	1582
PF03672	UPF0154	191	0.52	498
PF03677	UPF0137	1281	0.18	57
PF03681	UPF0150	36	0.46	636
PF03682	UPF0158	465	0.46	154
PF03690	UPF0160	456	0.40	107
PF03691	UPF0167	1372	0.38	124
PF03692	CxxCxxCC	481	0.50	1155
PF03693	RHH_2	619	0.45	373
PF03695	UPF0149	584	0.36	549
PF03698	UPF0180	1812	0.32	183
PF03699	UPF0182	1355	0.38	418
PF03701	UPF0181	1499	0.31	236
PF03702	UPF0075	872	0.50	987
PF03703	bPH_2	410	0.47	775
PF03704	BTAD	226	0.43	359
PF03705	CheR_N	591	0.50	1157
PF03706	UPF0104	959	0.51	1450
PF03707	MHYT	1412	0.35	406
PF03709	OKR_DC_1_N	322	0.44	473
PF03710	GlnE	1594	0.46	1010
PF03711	OKR_DC_1_C	324	0.44	1112
PF03713	DUF305	499	0.43	394
PF03714	PUD	3749	0.45	332
PF03717	PBP_dimer	388	0.49	2261
PF03719	Ribosomal_S5_C	9	0.61	2322
PF03720	UDPG_MGDP_dh_C	116	0.50	1748
PF03721	UDPG_MGDP_dh_N	65	0.50	1756
PF03724	META	265	0.45	759
PF03725	RNase_PH_C	23	0.50	2200
PF03726	PNPase	82	0.50	2124
PF03729	DUF308	244	0.50	829
PF03733	DUF307	637	0.43	608
PF03734	YkuD	225	0.47	1668
PF03737	Methyltransf_6	103	0.45	939
PF03738	GSP_synth	146	0.42	602
PF03739	YjgP_YjgQ	262	0.49	1336
PF03740	PdxJ	355	0.49	1072
PF03741	TerC	350	0.49	1687
PF03742	PetN	109	0.40	74
PF03743	TrbI	476	0.44	416
PF03744	BioW	3192	0.41	146
PF03745	DUF309	731	0.44	423
PF03746	LamB_YcsF	277	0.50	1003
PF03747	ADP_ribosyl_GH	568	0.49	745
PF03748	FliL	217	0.46	1011
PF03749	SfsA	1031	0.50	728
PF03750	DUF310	3475	0.43	116
PF03755	YicC_N	274	0.50	1258
PF03756	AfsA	2308	0.40	67
PF03764	EFG_IV	16	0.61	2344
PF03767	Acid_phosphat_B	231	0.49	581
PF03772	Competence	835	0.57	2200
PF03773	DUF318	239	0.50	1052
PF03775	MinC_C	349	0.46	1174
PF03776	MinE	271	0.44	954
PF03779	SPW	73	0.45	147
PF03780	Asp23	210	0.44	830
PF03781	FGE-sulfatase	50	0.48	1048
PF03783	CsgG	233	0.47	505
PF03785	Peptidase_C25_C	93	0.39	5
PF03786	UxuA	398	0.46	521
PF03787	RAMPs	1722	0.47	261
PF03788	LrgA	157	0.46	1000
PF03793	PASTA	359	0.49	1122
PF03795	YCII	159	0.46	1131
PF03796	DnaB_C	406	0.61	2316
PF03797	Autotransporter	33	0.43	718
PF03799	FtsQ	155	0.45	1567
PF03802	CitX	2512	0.38	307
PF03806	ABG_transport	284	0.45	418
PF03807	F420_oxidored	129	0.50	2020
PF03808	Glyco_tran_WecB	620	0.46	1026
PF03811	Zn_Tnp_IS1	165	0.42	206
PF03812	KdgT	2280	0.41	289
PF03814	KdpA	1638	0.50	920
PF03815	LCCL	1669	0.33	9
PF03816	LytR_cpsA_psr	331	0.46	1018
PF03817	MadL	1716	0.40	107
PF03818	MadM	607	0.40	108
PF03819	MazG	272	0.50	1832
PF03824	NicO	567	0.45	752
PF03825	Nuc_H_symport	712	0.48	351
PF03829	PTSIIA_gutA	259	0.44	314
PF03830	PTSIIB_sorb	291	0.43	605
PF03831	PhnA	99	0.44	1153
PF03837	RecT	3112	0.44	378
PF03838	RecU	62	0.52	512
PF03840	SecG	104	0.50	2259
PF03841	SelA	707	0.50	748
PF03843	Slp	424	0.38	309
PF03845	Spore_permease	3103	0.34	265
PF03846	SulA	1127	0.22	250
PF03848	TehB	1071	0.43	438
PF03851	UvdE	1582	0.43	237
PF03852	Vsr	933	0.46	478
PF03853	YjeF_N	684	0.50	1519
PF03860	DUF326	1230	0.41	161
PF03861	ANTAR	88	0.50	784
PF03862	SpoVA	573	0.39	293
PF03864	Phage_cap_E	406	0.41	237
PF03865	ShlB	1346	0.37	330
PF03869	Arc	300	0.41	219
PF03872	RseA_N	136	0.37	494
PF03873	RseA_C	227	0.22	322
PF03880	DbpA	164	0.48	1342
PF03881	Fructosamin_kin	563	0.46	654
PF03882	KicB	1335	0.33	245
PF03883	DUF328	907	0.49	1064
PF03884	DUF329	882	0.48	703
PF03885	DUF327	1211	0.46	369
PF03886	DUF330	231	0.40	726
PF03887	YfbU	567	0.39	230
PF03888	MucB_RseB	286	0.34	450
PF03889	DUF331	145	0.34	311
PF03891	DUF333	594	0.43	321
PF03892	NapB	1012	0.42	334
PF03894	XFP	719	0.44	496
PF03895	YadA_anchor	104	0.37	366
PF03899	ATP_synt_I	135	0.41	1026
PF03900	Porphobil_deamC	318	0.50	1764
PF03906	Phage_T7_tail	3957	0.28	9
PF03912	Psb28	226	0.27	71
PF03916	NrfD	726	0.50	559
PF03918	CcmH	1501	0.42	671
PF03922	OmpW	50	0.43	641
PF03923	Lipoprotein_16	584	0.34	279
PF03924	CHASE	2105	0.44	389
PF03925	SeqA	365	0.41	289
PF03927	NapD	1297	0.42	345
PF03928	DUF336	1128	0.46	834
PF03929	PepSY_TM	6735	0.38	82
PF03932	CutC	888	0.50	821
PF03934	T2SK	2619	0.44	486
PF03936	Terpene_synth_C	1389	0.43	90
PF03937	Sdh5	84	0.35	799
PF03938	OmpH	49	0.49	1064
PF03942	DTW	2228	0.41	400
PF03945	Endotoxin_N	4250	0.39	29
PF03946	Ribosomal_L11_N	33	0.61	2322
PF03947	Ribosomal_L2_C	6	0.61	2321
PF03948	Ribosomal_L9_C	16	0.50	2297
PF03949	Malic_M	253	0.50	1821
PF03950	tRNA-synt_1c_C	472	0.47	935
PF03951	Gln-synt_N	88	0.48	1910
PF03952	Enolase_N	78	0.57	2248
PF03956	DUF340	1217	0.46	373
PF03958	Secretin_N	38	0.46	905
PF03960	ArsC	111	0.46	1651
PF03961	DUF342	1721	0.45	394
PF03963	FlgD	36	0.46	1163
PF03965	Penicillinase_R	117	0.50	820
PF03966	Trm112p	437	0.45	994
PF03967	PRCH	530	0.26	38
PF03968	OstA	316	0.47	1133
PF03969	AFG1_ATPase	1118	0.40	905
PF03971	IDH	311	0.44	567
PF03972	MmgE_PrpD	281	0.46	716
PF03974	Ecotin	282	0.43	281
PF03975	CheD	1860	0.50	582
PF03976	PPK2	420	0.46	1067
PF03977	OAD_beta	528	0.47	411
PF03979	Sigma70_r1_1	89	0.50	1650
PF03981	Ubiq_cyt_C_chap	150	0.42	281
PF03982	DAGAT	3231	0.30	47
PF03988	DUF347	691	0.39	156
PF03989	DNA_gyraseA_C	98	0.57	2324
PF03990	DUF348	81	0.37	449
PF03991	Prion_octapep	2249	0.39	53
PF03992	ABM	115	0.50	1515
PF03993	DUF349	147	0.43	374
PF03994	DUF350	1070	0.49	569
PF04002	RadC	512	0.50	1666
PF04008	Adenosine_kin	2804	0.46	151
PF04011	LemA	431	0.50	1119
PF04012	PspA_IM30	147	0.49	992
PF04014	Antitoxin-MazE	143	0.46	1012
PF04015	DUF362	1829	0.50	293
PF04016	DUF364	4693	0.44	129
PF04018	DUF368	548	0.46	540
PF04020	DUF360	392	0.46	807
PF04022	Staphylcoagulse	1857	0.00	41
PF04023	FeoA	389	0.50	1559
PF04024	PspC	420	0.48	1048
PF04025	DUF370	608	0.44	391
PF04026	SpoVG	132	0.50	452
PF04028	DUF374	1301	0.47	341
PF04029	2-ph_phosp	645	0.48	343
PF04030	ALO	2014	0.41	438
PF04039	MnhB	320	0.46	786
PF04041	DUF377	3981	0.47	270
PF04046	PSP	3633	0.29	27
PF04052	TolB_N	418	0.38	906
PF04055	Radical_SAM	66	0.61	2366
PF04060	FeS	543	0.50	883
PF04066	MrpF_PhaF	373	0.46	699
PF04069	OpuAC	262	0.50	1465
PF04070	DUF378	10	0.42	392
PF04071	zf-like	3204	0.39	74
PF04072	LCM	275	0.46	511
PF04073	tRNA_edit	145	0.50	2089
PF04074	DUF386	834	0.46	547
PF04075	DUF385	191	0.35	152
PF04076	BOF	259	0.35	330
PF04077	DsrH	555	0.44	398
PF04079	DUF387	708	0.47	1576
PF04085	MreC	566	0.49	1765
PF04087	DUF389	1037	0.47	309
PF04093	MreD	514	0.46	1265
PF04095	NAPRTase	345	0.50	1686
PF04101	Glyco_tran_28_C	584	0.50	2207
PF04102	SlyX	281	0.42	625
PF04107	GCS2	571	0.46	844
PF04115	Ureidogly_hydro	582	0.42	358
PF04116	FA_hydroxylase	810	0.46	743
PF04120	Iron_permease	891	0.42	140
PF04122	CW_binding_2	3	0.34	101
PF04127	DFP	159	0.50	2022
PF04131	NanE	269	0.46	646
PF04134	DUF393	654	0.46	734
PF04138	GtrA	564	0.50	1331
PF04140	ICMT	247	0.45	453
PF04143	Sulf_transp	1004	0.45	913
PF04149	DUF397	312	0.36	54
PF04151	PPC	354	0.44	407
PF04156	IncA	296	0.07	53
PF04166	PdxA	458	0.49	1203
PF04167	DUF402	466	0.55	649
PF04168	Alpha-E	951	0.45	579
PF04170	NlpE	90	0.43	322
PF04172	LrgB	261	0.46	1002
PF04174	CP_ATPgrasp_1	883	0.45	595
PF04175	DUF406	650	0.22	258
PF04181	RPAP2_Rtr1	6173	0.30	28
PF04183	IucA_IucC	1290	0.41	478
PF04184	ST7	945	0.41	24
PF04185	Phosphoesterase	410	0.46	401
PF04186	FxsA	524	0.44	909
PF04187	DUF399	2070	0.49	286
PF04191	PEMT	522	0.47	690
PF04193	PQ-loop	1457	0.52	251
PF04198	Sugar-bind	133	0.50	988
PF04199	Cyclase	113	0.50	919
PF04203	Sortase	902	0.44	777
PF04204	HTS	643	0.48	859
PF04205	FMN_bind	273	0.49	1067
PF04209	HgmA	494	0.46	512
PF04214	DUF411	422	0.42	295
PF04216	FdhE	821	0.42	413
PF04217	DUF412	2036	0.22	281
PF04219	DUF413	244	0.34	280
PF04220	YihI	699	0.22	280
PF04221	RelB	156	0.42	519
PF04222	DUF416	1225	0.42	298
PF04223	CitF	5220	0.41	301
PF04224	DUF417	252	0.46	265
PF04225	OapA	666	0.26	378
PF04226	Transgly_assoc	81	0.48	1242
PF04227	Indigoidine_A	238	0.46	413
PF04228	Zn_peptidase	1787	0.47	786
PF04229	GrpB	883	0.44	575
PF04230	PS_pyruv_trans	393	0.48	871
PF04231	Endonuclease_1	1977	0.45	558
PF04232	SpoVS	686	0.44	334
PF04233	Phage_Mu_F	1251	0.43	511
PF04234	CopC	170	0.38	679
PF04235	DUF418	2673	0.45	583
PF04237	YjbR	610	0.48	957
PF04238	DUF420	413	0.49	343
PF04239	DUF421	957	0.50	829
PF04240	DUF422	2035	0.46	162
PF04241	DUF423	1248	0.46	922
PF04244	DPRP	658	0.46	337
PF04245	NA37	718	0.43	604
PF04246	RseC_MucC	477	0.47	510
PF04247	SirB	436	0.37	362
PF04248	DUF427	658	0.46	398
PF04250	DUF429	2568	0.46	255
PF04253	TFR_dimer	5659	0.44	32
PF04255	DUF433	312	0.45	218
PF04256	DUF434	4259	0.43	50
PF04257	Exonuc_V_gamma	1233	0.50	933
PF04259	SASP_gamma	478	0.17	138
PF04260	DUF436	359	0.40	402
PF04261	Dyp_perox	291	0.43	845
PF04262	Glu_cys_ligase	1077	0.40	636
PF04263	TPK_catalytic	508	0.48	936
PF04264	YceI	166	0.46	1149
PF04265	TPK_B1_binding	348	0.45	760
PF04266	ASCH	983	0.44	734
PF04267	SoxD	925	0.36	206
PF04268	SoxG	1393	0.36	205
PF04269	DUF440	677	0.27	244
PF04273	DUF442	707	0.44	332
PF04276	DUF443	2977	0.17	51
PF04277	OAD_gamma	2655	0.47	373
PF04278	Tic22	546	0.27	54
PF04279	IspA	475	0.34	740
PF04280	Tim44	104	0.39	550
PF04284	DUF441	1081	0.40	509
PF04285	DUF444	236	0.45	689
PF04286	DUF445	1438	0.45	936
PF04287	DUF446	1562	0.33	347
PF04288	MukE	230	0.33	246
PF04290	DctQ	295	0.45	805
PF04293	SpoVR	247	0.45	699
PF04294	VanW	823	0.44	458
PF04295	GD_AH_C	778	0.50	637
PF04296	DUF448	51	0.46	1295
PF04297	UPF0122	655	0.45	647
PF04298	Zn_peptidase_2	38	0.46	568
PF04299	FMN_bind_2	1901	0.46	466
PF04301	DUF452	1299	0.43	101
PF04303	PrpF	421	0.45	485
PF04304	DUF454	1300	0.45	766
PF04305	DUF455	1054	0.44	294
PF04306	DUF456	506	0.45	468
PF04307	DUF457	420	0.50	941
PF04308	DUF458	3672	0.47	200
PF04309	G3P_antiterm	1469	0.43	431
PF04310	MukB	1416	0.33	247
PF04311	DUF459	2398	0.35	98
PF04313	HSDR_N	250	0.56	1240
PF04314	DUF461	93	0.42	672
PF04315	DUF462	1115	0.29	305
PF04316	FlgM	46	0.50	853
PF04317	DUF463	2340	0.31	391
PF04319	NifZ	3201	0.41	130
PF04320	DUF469	504	0.35	339
PF04321	RmlD_sub_bind	368	0.50	1488
PF04324	Fer2_BFD	13	0.48	1497
PF04325	DUF465	10	0.45	640
PF04326	AAA_4	694	0.48	639
PF04327	DUF464	42	0.48	630
PF04328	DUF466	474	0.38	600
PF04332	DUF475	1417	0.38	245
PF04333	VacJ	337	0.42	801
PF04335	VirB8	490	0.44	350
PF04336	DUF479	2751	0.44	383
PF04337	DUF480	1036	0.45	388
PF04338	DUF481	1558	0.46	463
PF04339	DUF482	1508	0.39	512
PF04340	DUF484	1154	0.30	528
PF04341	DUF485	233	0.44	695
PF04342	DUF486	1387	0.46	317
PF04343	DUF488	275	0.50	906
PF04344	CheZ	302	0.42	494
PF04345	Chor_lyase	976	0.27	522
PF04346	EutH	1726	0.41	244
PF04347	FliO	168	0.44	948
PF04348	LppC	1038	0.27	422
PF04349	MdoG	331	0.39	423
PF04350	PilO	393	0.43	449
PF04351	PilP	430	0.37	356
PF04352	ProQ	202	0.26	420
PF04353	Rsd_AlgQ	378	0.21	292
PF04354	ZipA_C	722	0.37	544
PF04355	SmpA_OmlA	121	0.43	872
PF04356	DUF489	554	0.26	413
PF04357	DUF490	1011	0.49	1027
PF04358	DsrC	2087	0.39	493
PF04359	DUF493	323	0.46	752
PF04361	DUF494	121	0.37	405
PF04362	Iron_traffic	251	0.46	635
PF04363	DUF496	394	0.36	253
PF04364	DNA_pol3_chi	977	0.37	802
PF04365	DUF497	296	0.40	391
PF04366	DUF500	21	0.46	307
PF04367	DUF502	318	0.48	591
PF04368	DUF507	670	0.43	133
PF04371	PAD_porph	339	0.48	685
PF04375	HemX	636	0.27	515
PF04376	ATE_N	2042	0.45	496
PF04377	ATE_C	1919	0.45	502
PF04378	RsmJ	1219	0.41	731
PF04379	DUF525	1002	0.43	673
PF04380	BMFP	328	0.38	725
PF04381	RdgC	1061	0.33	562
PF04383	KilA-N	1281	0.43	196
PF04384	Fe-S_assembly	396	0.40	473
PF04386	SspB	360	0.40	839
PF04389	Peptidase_M28	425	0.49	854
PF04390	LptE	35	0.48	1114
PF04391	DUF533	1139	0.35	352
PF04392	ABC_sub_bind	235	0.46	722
PF04393	DUF535	279	0.39	278
PF04397	LytTR	321	0.50	1329
PF04399	Glutaredoxin2_C	427	0.30	224
PF04400	DUF539	958	0.39	225
PF04402	SIMPL	291	0.48	1187
PF04403	PqiA	376	0.45	538
PF04404	ERF	4256	0.41	157
PF04405	ScdA_N	1881	0.46	493
PF04408	HA2	502	0.45	1074
PF04411	DUF524	2351	0.46	134
PF04412	DUF521	7382	0.36	77
PF04413	Glycos_transf_N	589	0.49	1135
PF04414	tRNA_deacylase	3905	0.35	22
PF04417	DUF501	1671	0.44	288
PF04422	FrhB_FdhB_N	1857	0.45	147
PF04430	DUF498	507	0.40	379
PF04432	FrhB_FdhB_C	1862	0.45	212
PF04434	SWIM	349	0.48	816
PF04438	zf-HIT	1790	0.31	11
PF04439	Adenyl_transf	2037	0.42	233
PF04442	CtaG_Cox11	720	0.36	427
PF04443	LuxE	2230	0.45	169
PF04444	Dioxygenase_N	91	0.43	232
PF04445	SAM_MT	893	0.46	689
PF04447	DUF550	2431	0.37	43
PF04448	DUF551	2174	0.40	116
PF04449	Fimbrial_CS1	4764	0.24	82
PF04450	BSP	4841	0.45	19
PF04452	Methyltrans_RNA	552	0.50	2120
PF04453	OstA_C	417	0.43	959
PF04454	Linocin_M18	1340	0.45	210
PF04455	Saccharop_dh_N	393	0.40	63
PF04456	DUF503	229	0.44	524
PF04459	DUF512	1611	0.44	238
PF04461	DUF520	404	0.46	1048
PF04463	DUF523	678	0.44	752
PF04464	Glyphos_transf	394	0.46	492
PF04466	Terminase_3	1809	0.41	282
PF04468	PSP1	506	0.50	773
PF04471	Mrr_cat	588	0.48	966
PF04472	DUF552	155	0.40	935
PF04474	DUF554	416	0.45	606
PF04480	DUF559	350	0.46	642
PF04481	DUF561	206	0.27	71
PF04483	DUF565	70	0.27	67
PF04485	NblA	61	0.27	47
PF04488	Gly_transf_sug	1967	0.44	239
PF04492	Phage_rep_O	3111	0.34	139
PF04493	Endonuclease_5	1768	0.47	477
PF04505	Dispanin	254	0.42	93
PF04507	DUF576	2971	0.16	46
PF04509	CheC	1121	0.50	425
PF04518	Effector_1	634	0.07	53
PF04519	Bactofilin	77	0.46	870
PF04531	Phage_holin_1	3573	0.33	144
PF04536	TPM	538	0.48	964
PF04539	Sigma70_r3	70	0.57	2367
PF04542	Sigma70_r2	1	0.57	2444
PF04545	Sigma70_r4	16	0.61	2401
PF04546	Sigma70_ner	128	0.35	853
PF04550	Phage_holin_2	718	0.25	54
PF04551	GcpE	337	0.50	1826
PF04552	Sigma54_DBD	248	0.50	1404
PF04556	DpnII	755	0.56	108
PF04560	RNA_pol_Rpb2_7	108	0.61	2320
PF04561	RNA_pol_Rpb2_2	118	0.56	1166
PF04563	RNA_pol_Rpb2_1	163	0.61	1211
PF04564	U-box	2816	0.35	12
PF04565	RNA_pol_Rpb2_3	125	0.61	2319
PF04575	DUF560	1727	0.38	122
PF04577	DUF563	1643	0.43	147
PF04586	Peptidase_U35	1624	0.47	535
PF04588	HIG_1_N	1011	0.28	165
PF04591	DUF596	607	0.24	31
PF04602	Arabinose_trans	3238	0.13	128
PF04606	Ogr_Delta	1664	0.33	254
PF04607	RelA_SpoT	162	0.49	2145
PF04608	PgpA	42	0.46	1127
PF04610	TrbL	1316	0.44	438
PF04612	T2SM	1850	0.45	396
PF04613	LpxD	141	0.49	1181
PF04616	Glyco_hydro_43	2020	0.50	510
PF04630	Phage_tail	3539	0.29	97
PF04632	FUSC	1405	0.41	611
PF04634	DUF600	1398	0.37	139
PF04647	AgrB	243	0.30	225
PF04650	YSIRK_signal	1243	0.37	185
PF04654	DUF599	874	0.33	169
PF04655	APH_6_hur	3657	0.37	192
PF04657	DUF606	483	0.45	737
PF04672	Methyltransf_19	374	0.36	65
PF04673	Cyclase_polyket	1746	0.14	37
PF04675	DNA_ligase_A_N	1985	0.49	348
PF04679	DNA_ligase_A_C	1346	0.49	539
PF04684	BAF1_ABF1	2409	0.00	1
PF04685	DUF608	1932	0.45	153
PF04686	SsgA	54	0.15	57
PF04688	Phage_holin	3530	0.31	116
PF04703	FaeA	4032	0.34	109
PF04706	Dickkopf_N	2184	0.00	1
PF04715	Anth_synt_I_N	395	0.50	1842
PF04717	Phage_base_V	875	0.45	697
PF04723	GRDA	4174	0.41	58
PF04728	LPP	112	0.33	231
PF04733	Coatomer_E	2128	0.29	7
PF04734	Ceramidase_alk	2425	0.44	175
PF04737	Lant_dehyd_N	1704	0.42	142
PF04738	Lant_dehyd_C	804	0.42	131
PF04740	LXG	2800	0.37	180
PF04741	InvH	123	0.03	57
PF04746	DUF575	441	0.01	5
PF04748	Polysacc_deac_2	1378	0.40	659
PF04750	Far-17a_AIG1	3936	0.34	39
PF04751	DUF615	372	0.33	578
PF04752	ChaC	774	0.39	367
PF04754	Transposase_31	2238	0.45	371
PF04755	PAP_fibrillin	1524	0.27	66
PF04760	IF2_N	93	0.51	2292
PF04763	DUF562	1039	0.01	5
PF04768	DUF619	2163	0.30	40
PF04773	FecR	234	0.46	641
PF04775	Bile_Hydr_Trans	4623	0.43	88
PF04784	DUF547	3043	0.46	131
PF04792	LcrV	1606	0.18	12
PF04794	YdjC	38	0.50	645
PF04796	RepA_C	4628	0.35	45
PF04800	ETC_C1_NDUFA4	383	0.29	185
PF04809	HupH_C	634	0.41	162
PF04816	DUF633	839	0.55	697
PF04820	Trp_halogenase	618	0.45	343
PF04828	GFA	408	0.43	586
PF04829	PT-VENN	267	0.29	135
PF04830	DUF637	2942	0.36	78
PF04832	SOUL	3635	0.46	110
PF04839	PSRP-3_Ycf65	64	0.27	71
PF04851	ResIII	211	0.57	2330
PF04854	DUF624	3461	0.36	315
PF04860	Phage_portal	1035	0.47	832
PF04865	Baseplate_J	275	0.44	616
PF04879	Molybdop_Fe4S4	111	0.50	1511
PF04883	HK97-gp10_like	956	0.50	470
PF04886	PT	501	0.45	112
PF04888	SseC	181	0.37	172
PF04890	DUF648	310	0.16	28
PF04891	NifQ	3604	0.38	101
PF04892	VanZ	886	0.50	1017
PF04893	Yip1	596	0.44	318
PF04898	Glu_syn_central	583	0.49	1438
PF04909	Amidohydro_2	890	0.46	1131
PF04914	DltD_C	613	0.39	426
PF04915	DltD_N	571	0.29	377
PF04917	Shufflon_N	3449	0.35	59
PF04918	DltD_M	649	0.39	412
PF04919	DUF655	915	0.00	1
PF04932	Wzy_C	1435	0.46	570
PF04940	BLUF	551	0.43	259
PF04945	YHS	1237	0.46	448
PF04951	Peptidase_M55	1442	0.44	265
PF04952	AstE_AspA	806	0.46	761
PF04954	SIP	294	0.41	591
PF04955	HupE_UreJ	66	0.41	271
PF04956	TrbC	222	0.44	327
PF04957	RMF	27	0.24	306
PF04958	AstA	780	0.38	379
PF04960	Glutaminase	420	0.45	812
PF04961	FTCD_C	1017	0.48	283
PF04962	KduI	516	0.46	733
PF04963	Sigma54_CBD	423	0.50	1395
PF04964	Flp_Fap	5	0.44	391
PF04965	GPW_gp25	388	0.45	651
PF04966	OprB	40	0.46	430
PF04970	LRAT	669	0.40	116
PF04971	Lysis_S	683	0.19	91
PF04972	BON	36	0.46	1150
PF04973	NMN_transporter	518	0.45	923
PF04976	DmsC	531	0.43	325
PF04977	DivIC	144	0.48	1931
PF04978	DUF664	1018	0.46	257
PF04982	HPP	802	0.45	473
PF04983	RNA_pol_Rpb1_3	65	0.61	2324
PF04984	Phage_sheath_1	413	0.45	588
PF04985	Phage_tube	748	0.38	275
PF04989	CmcI	285	0.40	216
